ICD-9 code 1,ICD-9 code 2,Shared SNP associations,ICD-9 code 1 description,ICD-9 code 2 description,ICD-9 code category 1,ICD-9 code category 2
250.01,268.9,31,"TYPE I (JUVENILE TYPE) DIABETES MELLITUS WITHOUT MENTION OF COMPLICATION, NOT STATED AS UNCONTROLLED",UNSPECIFIED VITAMIN D DEFICIENCY,Endocrine_Disorders,Late_Effects_of_Ricketts
242.0,714.0,18,TOXIC DIFFUSE GOITER WITHOUT MENTION OF THYROTOXIC CRISIS OR STORM,RHEUMATOID ARTHRITIS,Endocrine_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
362.02,714.0,17,PROLIFERATIVE DIABETIC RETINOPATHY,RHEUMATOID ARTHRITIS,Ent_and_Eye_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
268.9,696.1,24,UNSPECIFIED VITAMIN D DEFICIENCY,OTHER PSORIASIS,Late_Effects_of_Ricketts,Other_Skin_and_Subcutaneous_Disorders
244.9,714.0,29,UNSPECIFIED HYPOTHYROIDISM,RHEUMATOID ARTHRITIS,Endocrine_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
362.5,362.52,11,"MACULAR DEGENERATION (SENILE) OF RETINA, UNSPECIFIED",EXUDATIVE SENILE MACULAR DEGENERATION OF RETINA,Ent_and_Eye_Disorders,Ent_and_Eye_Disorders
443.0,788.1,9,RAYNAUD'S SYNDROME,DYSURIA,Other_Cardiovascular_Disorders,Other_Genitourinary_Disorders
790.4,790.5,10,NONSPECIFIC ELEVATION OF LEVELS OF TRANSAMINASE OR LACTIC ACID DEHYDROGENASE (LDH),OTHER NONSPECIFIC ABNORMAL SERUM ENZYME LEVELS,Nonspecific_Abnormal_Findings,Nonspecific_Abnormal_Findings
250.01,362.02,20,"TYPE I (JUVENILE TYPE) DIABETES MELLITUS WITHOUT MENTION OF COMPLICATION, NOT STATED AS UNCONTROLLED",PROLIFERATIVE DIABETIC RETINOPATHY,Endocrine_Disorders,Ent_and_Eye_Disorders
443.0,696.1,16,RAYNAUD'S SYNDROME,OTHER PSORIASIS,Other_Cardiovascular_Disorders,Other_Skin_and_Subcutaneous_Disorders
362.01,362.02,9,BACKGROUND DIABETIC RETINOPATHY,PROLIFERATIVE DIABETIC RETINOPATHY,Ent_and_Eye_Disorders,Ent_and_Eye_Disorders
272.4,696.1,23,OTHER AND UNSPECIFIED HYPERLIPIDEMIA,OTHER PSORIASIS,Other_Nutritional_Disorders,Other_Skin_and_Subcutaneous_Disorders
696.1,714.0,22,OTHER PSORIASIS,RHEUMATOID ARTHRITIS,Other_Skin_and_Subcutaneous_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
242.0,244.9,16,TOXIC DIFFUSE GOITER WITHOUT MENTION OF THYROTOXIC CRISIS OR STORM,UNSPECIFIED HYPOTHYROIDISM,Endocrine_Disorders,Endocrine_Disorders
289.81,451.19,11,PRIMARY HYPERCOAGULABLE STATE,PHLEBITIS AND THROMBOPHLEBITIS OF OTHER DEEP VESSELS OF LOWER EXTREMITIES,Other_Hematologic_Disorders,Hematologic_Disorders
367.4,367.9,9,PRESBYOPIA,UNSPECIFIED DISORDER OF REFRACTION AND ACCOMMODATION,Ent_and_Eye_Disorders,Ent_and_Eye_Disorders
340.0,362.02,13,MULTIPLE SCLEROSIS,PROLIFERATIVE DIABETIC RETINOPATHY,Neurological_Disorders,Ent_and_Eye_Disorders
403.91,585.6,6,UNSPECIFIED HYPERTENSIVE KIDNEY DISEASE WITH CHRONIC KIDNEY DISEASE STAGE V OR END STAGE RENAL DISEASE,END STAGE RENAL DISEASE,Cardiovascular_Disorders,Genitourinary_Disorders
250.01,272.4,26,"TYPE I (JUVENILE TYPE) DIABETES MELLITUS WITHOUT MENTION OF COMPLICATION, NOT STATED AS UNCONTROLLED",OTHER AND UNSPECIFIED HYPERLIPIDEMIA,Endocrine_Disorders,Other_Nutritional_Disorders
278.0,278.01,11,"OBESITY, UNSPECIFIED",MORBID OBESITY,Nutritional_Disorders,Nutritional_Disorders
242.0,268.9,9,TOXIC DIFFUSE GOITER WITHOUT MENTION OF THYROTOXIC CRISIS OR STORM,UNSPECIFIED VITAMIN D DEFICIENCY,Endocrine_Disorders,Late_Effects_of_Ricketts
440.21,443.9,7,ATHEROSCLEROSIS OF NATIVE ARTERIES OF THE EXTREMITIES WITH INTERMITTENT CLAUDICATION,"PERIPHERAL VASCULAR DISEASE, UNSPECIFIED",Cardiovascular_Disorders,Other_Cardiovascular_Disorders
415.19,453.9,7,OTHER PULMONARY EMBOLISM AND INFARCTION,EMBOLISM AND THROMBOSIS OF UNSPECIFIED SITE,Hematologic_Disorders,Hematologic_Disorders
274.0,274.9,9,"GOUTY ARTHROPATHY, UNSPECIFIED","GOUT, UNSPECIFIED",Other_Nutritional_Disorders,Other_Nutritional_Disorders
250.0,278.0,11,"TYPE II OR UNSPECIFIED TYPE DIABETES MELLITUS WITHOUT MENTION OF COMPLICATION, NOT STATED AS UNCONTROLLED","OBESITY, UNSPECIFIED",Endocrine_Disorders,Nutritional_Disorders
278.01,579.3,13,MORBID OBESITY,OTHER AND UNSPECIFIED POSTSURGICAL NONABSORPTION,Nutritional_Disorders,Other_Digestive_System_Disorders
289.81,453.9,8,PRIMARY HYPERCOAGULABLE STATE,EMBOLISM AND THROMBOSIS OF UNSPECIFIED SITE,Other_Hematologic_Disorders,Hematologic_Disorders
362.01,714.0,8,BACKGROUND DIABETIC RETINOPATHY,RHEUMATOID ARTHRITIS,Ent_and_Eye_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
250.01,710.2,14,"TYPE I (JUVENILE TYPE) DIABETES MELLITUS WITHOUT MENTION OF COMPLICATION, NOT STATED AS UNCONTROLLED",SICCA SYNDROME,Endocrine_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
278.01,564.2,9,MORBID OBESITY,POSTGASTRIC SURGERY SYNDROMES,Nutritional_Disorders,Digestive_System_Disorders
268.9,714.0,10,UNSPECIFIED VITAMIN D DEFICIENCY,RHEUMATOID ARTHRITIS,Late_Effects_of_Ricketts,Musculoskeletal_and_Connective_Tissue_Disorders
571.8,794.8,5,OTHER CHRONIC NONALCOHOLIC LIVER DISEASE,NONSPECIFIC ABNORMAL RESULTS OF LIVER FUNCTION STUDY,Digestive_System_Disorders,Nonspecific_Abnormal_Findings
242.0,696.1,11,TOXIC DIFFUSE GOITER WITHOUT MENTION OF THYROTOXIC CRISIS OR STORM,OTHER PSORIASIS,Endocrine_Disorders,Other_Skin_and_Subcutaneous_Disorders
250.0,278.01,15,"TYPE II OR UNSPECIFIED TYPE DIABETES MELLITUS WITHOUT MENTION OF COMPLICATION, NOT STATED AS UNCONTROLLED",MORBID OBESITY,Endocrine_Disorders,Nutritional_Disorders
244.9,272.4,17,UNSPECIFIED HYPOTHYROIDISM,OTHER AND UNSPECIFIED HYPERLIPIDEMIA,Endocrine_Disorders,Other_Nutritional_Disorders
244.9,268.9,13,UNSPECIFIED HYPOTHYROIDISM,UNSPECIFIED VITAMIN D DEFICIENCY,Endocrine_Disorders,Late_Effects_of_Ricketts
250.6,357.2,4,"TYPE II OR UNSPECIFIED TYPE DIABETES MELLITUS WITH NEUROLOGICAL MANIFESTATIONS, NOT STATED AS UNCONTROLLED",POLYNEUROPATHY IN DIABETES,Endocrine_Disorders,Neurological_Disorders
424.9,440.1,3,"ENDOCARDITIS, VALVE UNSPECIFIED, UNSPECIFIED CAUSE",ATHEROSCLEROSIS OF RENAL ARTERY,Cardiovascular_Disorders,Cardiovascular_Disorders
366.16,367.9,5,SENILE NUCLEAR SCLEROSIS,UNSPECIFIED DISORDER OF REFRACTION AND ACCOMMODATION,Ent_and_Eye_Disorders,Ent_and_Eye_Disorders
289.81,415.19,6,PRIMARY HYPERCOAGULABLE STATE,OTHER PULMONARY EMBOLISM AND INFARCTION,Other_Hematologic_Disorders,Hematologic_Disorders
702.0,788.1,6,ACTINIC KERATOSIS,DYSURIA,Skin_and_Subcutaneous_Disorders,Other_Genitourinary_Disorders
272.4,710.2,7,OTHER AND UNSPECIFIED HYPERLIPIDEMIA,SICCA SYNDROME,Other_Nutritional_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
242.0,272.4,7,TOXIC DIFFUSE GOITER WITHOUT MENTION OF THYROTOXIC CRISIS OR STORM,OTHER AND UNSPECIFIED HYPERLIPIDEMIA,Endocrine_Disorders,Other_Nutritional_Disorders
285.21,585.9,3,ANEMIA IN CHRONIC KIDNEY DISEASE,"CHRONIC KIDNEY DISEASE, UNSPECIFIED",Hematologic_Disorders,Genitourinary_Disorders
250.5,362.01,4,"TYPE II OR UNSPECIFIED TYPE DIABETES MELLITUS WITH OPHTHALMIC MANIFESTATIONS, NOT STATED AS UNCONTROLLED",BACKGROUND DIABETIC RETINOPATHY,Endocrine_Disorders,Ent_and_Eye_Disorders
412.0,443.9,4,OLD MYOCARDIAL INFARCTION,"PERIPHERAL VASCULAR DISEASE, UNSPECIFIED",Cardiovascular_Disorders,Other_Cardiovascular_Disorders
412.0,414.01,4,OLD MYOCARDIAL INFARCTION,CORONARY ATHEROSCLEROSIS OF NATIVE CORONARY ARTERY,Cardiovascular_Disorders,Cardiovascular_Disorders
414.0,440.21,5,"CORONARY ATHEROSCLEROSIS OF UNSPECIFIED TYPE OF VESSEL, NATIVE OR GRAFT",ATHEROSCLEROSIS OF NATIVE ARTERIES OF THE EXTREMITIES WITH INTERMITTENT CLAUDICATION,Cardiovascular_Disorders,Cardiovascular_Disorders
367.9,550.9,3,UNSPECIFIED DISORDER OF REFRACTION AND ACCOMMODATION,"INGUINAL HERNIA WITHOUT MENTION OF OBSTRUCTION OR GANGRENE, UNILATERAL OR UNSPECIFIED, (NOT SPECIFIED AS RECURRENT)",Ent_and_Eye_Disorders,Digestive_System_Disorders
585.4,585.9,3,"CHRONIC KIDNEY DISEASE, STAGE IV (SEVERE)","CHRONIC KIDNEY DISEASE, UNSPECIFIED",Genitourinary_Disorders,Genitourinary_Disorders
427.81,562.11,2,SINOATRIAL NODE DYSFUNCTION,DIVERTICULITIS OF COLON (WITHOUT MENTION OF HEMORRHAGE),Cardiovascular_Disorders,Other_Digestive_System_Disorders
272.4,410.7,4,OTHER AND UNSPECIFIED HYPERLIPIDEMIA,"ACUTE MYOCARDIAL INFARCTION, SUBENDOCARDIAL INFARCTION, EPISODE OF CARE UNSPECIFIED",Other_Nutritional_Disorders,Cardiovascular_Disorders
314.0,789.01,2,ATTENTION DEFICIT DISORDER WITHOUT MENTION OF HYPERACTIVITY,"ABDOMINAL PAIN, RIGHT UPPER QUADRANT",Psychiatric_Disorders,Other_Digestive_System_Disorders
402.91,434.91,2,UNSPECIFIED HYPERTENSIVE HEART DISEASE WITH HEART FAILURE,UNSPECIFIED CEREBRAL ARTERY OCCLUSION WITH CEREBRAL INFARCTION,Cardiovascular_Disorders,Neurological_Disorders
491.21,496.0,4,OBSTRUCTIVE CHRONIC BRONCHITIS WITH EXACERBATION,"CHRONIC AIRWAY OBSTRUCTION, NOT ELSEWHERE CLASSIFIED",Respiratory_Disorders,Respiratory_Disorders
722.9,781.2,2,OTHER AND UNSPECIFIED DISC DISORDER OF UNSPECIFIED REGION,ABNORMALITY OF GAIT,Musculoskeletal_and_Connective_Tissue_Disorders,Neurological_Disorders
440.2,511.9,3,"ATHEROSCLEROSIS OF NATIVE ARTERIES OF THE EXTREMITIES, UNSPECIFIED",UNSPECIFIED PLEURAL EFFUSION,Cardiovascular_Disorders,Infectious_Disorders
241.1,799.02,2,NONTOXIC MULTINODULAR GOITER,HYPOXEMIA,Endocrine_Disorders,Other_and_Unspecified_Morbidity_and_Mortality
333.94,402.9,3,RESTLESS LEGS SYNDROME (RLS),UNSPECIFIED HYPERTENSIVE HEART DISEASE WITHOUT HEART FAILURE,Neurological_Disorders,Cardiovascular_Disorders
440.9,593.9,2,GENERALIZED AND UNSPECIFIED ATHEROSCLEROSIS,UNSPECIFIED DISORDER OF KIDNEY AND URETER,Cardiovascular_Disorders,Genitourinary_Disorders
781.0,795.79,2,ABNORMAL INVOLUNTARY MOVEMENTS,OTHER AND UNSPECIFIED NONSPECIFIC IMMUNOLOGICAL FINDINGS,Neurological_Disorders,Nonspecific_Abnormal_Findings
269.2,788.2,2,UNSPECIFIED VITAMIN DEFICIENCY,"RETENTION OF URINE, UNSPECIFIED",Nutritional_Disorders,Other_Genitourinary_Disorders
244.9,362.02,8,UNSPECIFIED HYPOTHYROIDISM,PROLIFERATIVE DIABETIC RETINOPATHY,Endocrine_Disorders,Ent_and_Eye_Disorders
424.1,585.3,3,AORTIC VALVE DISORDERS,"CHRONIC KIDNEY DISEASE, STAGE III (MODERATE)",Cardiovascular_Disorders,Genitourinary_Disorders
250.8,707.15,2,"TYPE II OR UNSPECIFIED TYPE DIABETES MELLITUS WITH OTHER SPECIFIED MANIFESTATIONS, NOT STATED AS UNCONTROLLED",ULCER OF OTHER PART OF FOOT,Endocrine_Disorders,Other_Skin_and_Subcutaneous_Disorders
530.81,696.1,6,ESOPHAGEAL REFLUX,OTHER PSORIASIS,Digestive_System_Disorders,Other_Skin_and_Subcutaneous_Disorders
585.5,585.6,2,"CHRONIC KIDNEY DISEASE, STAGE V",END STAGE RENAL DISEASE,Genitourinary_Disorders,Genitourinary_Disorders
724.5,729.2,2,"BACKACHE, UNSPECIFIED","NEURALGIA, NEURITIS, AND RADICULITIS, UNSPECIFIED",Musculoskeletal_and_Connective_Tissue_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
414.01,441.4,4,CORONARY ATHEROSCLEROSIS OF NATIVE CORONARY ARTERY,ABDOMINAL ANEURYSM WITHOUT MENTION OF RUPTURE,Cardiovascular_Disorders,Other_Cardiovascular_Disorders
414.0,477.8,3,"CORONARY ATHEROSCLEROSIS OF UNSPECIFIED TYPE OF VESSEL, NATIVE OR GRAFT",ALLERGIC RHINITIS DUE TO OTHER ALLERGEN,Cardiovascular_Disorders,Ent_and_Eye_Disorders
428.9,786.6,2,"HEART FAILURE, UNSPECIFIED","SWELLING, MASS, OR LUMP IN CHEST",Cardiovascular_Disorders,Cardiovascular_Disorders
211.3,454.9,2,BENIGN NEOPLASM OF COLON,ASYMPTOMATIC VARICOSE VEINS,Benign_Neoplasms,Varicose_Veins_Haemorrhoids_and_Lymphatic_Disorders
429.2,722.1,2,UNSPECIFIED CARDIOVASCULAR DISEASE,DISPLACEMENT OF LUMBAR INTERVERTEBRAL DISC WITHOUT MYELOPATHY,Other_Cardiovascular_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
477.8,782.3,2,ALLERGIC RHINITIS DUE TO OTHER ALLERGEN,EDEMA,Ent_and_Eye_Disorders,Other_Skin_and_Subcutaneous_Disorders
593.2,703.8,2,ACQUIRED CYST OF KIDNEY,OTHER SPECIFIED DISEASE OF NAIL,Genitourinary_Disorders,Skin_and_Subcutaneous_Disorders
193.0,244.8,2,MALIGNANT NEOPLASM OF THYROID GLAND,OTHER SPECIFIED ACQUIRED HYPOTHYROIDISM,Neoplasms,Endocrine_Disorders
272.1,272.4,5,PURE HYPERGLYCERIDEMIA,OTHER AND UNSPECIFIED HYPERLIPIDEMIA,Other_Nutritional_Disorders,Other_Nutritional_Disorders
564.1,607.84,2,IRRITABLE BOWEL SYNDROME,IMPOTENCE OF ORGANIC ORIGIN,Digestive_System_Disorders,Genitourinary_Disorders
795.79,846.0,2,OTHER AND UNSPECIFIED NONSPECIFIC IMMUNOLOGICAL FINDINGS,SPRAIN OF LUMBOSACRAL (JOINT) (LIGAMENT),Nonspecific_Abnormal_Findings,Spinal_Injuries_(Including_Spinal_Fractures)
790.6,998.59,2,OTHER ABNORMAL BLOOD CHEMISTRY,OTHER POSTOPERATIVE INFECTION,Nonspecific_Abnormal_Findings,Complications_from_a_Procedure_or_Device
722.9,733.9,2,OTHER AND UNSPECIFIED DISC DISORDER OF UNSPECIFIED REGION,"DISORDER OF BONE AND CARTILAGE, UNSPECIFIED",Musculoskeletal_and_Connective_Tissue_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
780.93,789.06,2,MEMORY LOSS,"ABDOMINAL PAIN, EPIGASTRIC",Neurological_Disorders,Other_Digestive_System_Disorders
414.9,585.4,2,"CHRONIC ISCHEMIC HEART DISEASE, UNSPECIFIED","CHRONIC KIDNEY DISEASE, STAGE IV (SEVERE)",Cardiovascular_Disorders,Genitourinary_Disorders
357.2,780.57,3,POLYNEUROPATHY IN DIABETES,UNSPECIFIED SLEEP APNEA,Neurological_Disorders,Neurological_Disorders
451.19,873.63,2,PHLEBITIS AND THROMBOPHLEBITIS OF OTHER DEEP VESSELS OF LOWER EXTREMITIES,"OPEN WOUND OF TOOTH (BROKEN) (FRACTURED) (DUE TO TRAUMA), WITHOUT MENTION OF COMPLICATION",Hematologic_Disorders,Head_Injuries_(Including_Skull_Fractures)
584.9,788.2,2,"ACUTE KIDNEY FAILURE, UNSPECIFIED","RETENTION OF URINE, UNSPECIFIED",Genitourinary_Disorders,Other_Genitourinary_Disorders
586.0,785.0,1,"RENAL FAILURE, UNSPECIFIED","TACHYCARDIA, UNSPECIFIED",Genitourinary_Disorders,Cardiovascular_Disorders
242.9,272.2,2,"THYROTOXICOSIS WITHOUT MENTION OF GOITER OR OTHER CAUSE, WITHOUT MENTION OF THYROTOXIC CRISIS OR STORM",MIXED HYPERLIPIDEMIA,Endocrine_Disorders,Other_Nutritional_Disorders
238.2,372.3,2,NEOPLASM OF UNCERTAIN BEHAVIOR OF SKIN,CONJUNCTIVITIS UNSPECIFIED,Neoplasms,Ent_and_Eye_Disorders
707.1,795.79,2,"ULCER OF LOWER LIMB, UNSPECIFIED",OTHER AND UNSPECIFIED NONSPECIFIC IMMUNOLOGICAL FINDINGS,Other_Skin_and_Subcutaneous_Disorders,Nonspecific_Abnormal_Findings
403.91,585.5,2,UNSPECIFIED HYPERTENSIVE KIDNEY DISEASE WITH CHRONIC KIDNEY DISEASE STAGE V OR END STAGE RENAL DISEASE,"CHRONIC KIDNEY DISEASE, STAGE V",Cardiovascular_Disorders,Genitourinary_Disorders
285.1,785.0,1,ACUTE POSTHEMORRHAGIC ANEMIA,"TACHYCARDIA, UNSPECIFIED",Hematologic_Disorders,Cardiovascular_Disorders
250.8,346.01,1,"TYPE II OR UNSPECIFIED TYPE DIABETES MELLITUS WITH OTHER SPECIFIED MANIFESTATIONS, NOT STATED AS UNCONTROLLED","MIGRAINE WITH AURA, WITH INTRACTABLE MIGRAINE, SO STATED, WITHOUT MENTION OF STATUS MIGRAINOSUS",Endocrine_Disorders,Neurological_Disorders
365.7,365.9,2,"GLAUCOMA STAGE, UNSPECIFIED",UNSPECIFIED GLAUCOMA,Ent_and_Eye_Disorders,Ent_and_Eye_Disorders
285.21,782.1,2,ANEMIA IN CHRONIC KIDNEY DISEASE,RASH AND OTHER NONSPECIFIC SKIN ERUPTION,Hematologic_Disorders,Other_Skin_and_Subcutaneous_Disorders
281.0,362.52,2,PERNICIOUS ANEMIA,EXUDATIVE SENILE MACULAR DEGENERATION OF RETINA,Hematologic_Disorders,Ent_and_Eye_Disorders
389.1,472.0,2,"SENSORINEURAL HEARING LOSS, UNSPECIFIED",CHRONIC RHINITIS,Ent_and_Eye_Disorders,Ent_and_Eye_Disorders
704.8,788.1,2,OTHER SPECIFIED DISEASE OF HAIR AND HAIR FOLLICLES,DYSURIA,Skin_and_Subcutaneous_Disorders,Other_Genitourinary_Disorders
272.0,466.0,2,PURE HYPERCHOLESTEROLEMIA,ACUTE BRONCHITIS,Other_Nutritional_Disorders,Infectious_Disorders
719.47,728.71,2,"PAIN IN JOINT, ANKLE AND FOOT",PLANTAR FASCIAL FIBROMATOSIS,Musculoskeletal_and_Connective_Tissue_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
564.0,786.09,2,UNSPECIFIED CONSTIPATION,OTHER DYSPNEA AND RESPIRATORY ABNORMALITY,Digestive_System_Disorders,Cardiovascular_Disorders
78.1,708.9,2,"VIRAL WARTS, UNSPECIFIED","URTICARIA, UNSPECIFIED",Infectious_Disorders,Other_Skin_and_Subcutaneous_Disorders
333.94,571.5,3,RESTLESS LEGS SYNDROME (RLS),CIRRHOSIS OF LIVER WITHOUT MENTION OF ALCOHOL,Neurological_Disorders,Digestive_System_Disorders
719.47,783.1,2,"PAIN IN JOINT, ANKLE AND FOOT",ABNORMAL WEIGHT GAIN,Musculoskeletal_and_Connective_Tissue_Disorders,Nutritional_Disorders
472.0,530.81,2,CHRONIC RHINITIS,ESOPHAGEAL REFLUX,Ent_and_Eye_Disorders,Digestive_System_Disorders
250.8,780.4,1,"TYPE II OR UNSPECIFIED TYPE DIABETES MELLITUS WITH OTHER SPECIFIED MANIFESTATIONS, NOT STATED AS UNCONTROLLED",DIZZINESS AND GIDDINESS,Endocrine_Disorders,Neurological_Disorders
729.2,790.29,1,"NEURALGIA, NEURITIS, AND RADICULITIS, UNSPECIFIED",OTHER ABNORMAL GLUCOSE,Musculoskeletal_and_Connective_Tissue_Disorders,Nonspecific_Abnormal_Findings
278.02,372.3,1,OVERWEIGHT,CONJUNCTIVITIS UNSPECIFIED,Nutritional_Disorders,Ent_and_Eye_Disorders
595.0,782.0,1,ACUTE CYSTITIS,DISTURBANCE OF SKIN SENSATION,Genitourinary_Disorders,Other_Skin_and_Subcutaneous_Disorders
278.01,780.57,6,MORBID OBESITY,UNSPECIFIED SLEEP APNEA,Nutritional_Disorders,Neurological_Disorders
110.4,571.5,2,DERMATOPHYTOSIS OF FOOT,CIRRHOSIS OF LIVER WITHOUT MENTION OF ALCOHOL,Infectious_Disorders,Digestive_System_Disorders
305.1,493.9,3,TOBACCO USE DISORDER,UNSPECIFIED ASTHMA,Substance_Abuse,Respiratory_Disorders
722.1,724.4,2,DISPLACEMENT OF LUMBAR INTERVERTEBRAL DISC WITHOUT MYELOPATHY,"THORACIC OR LUMBOSACRAL NEURITIS OR RADICULITIS, UNSPECIFIED",Musculoskeletal_and_Connective_Tissue_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
193.0,244.9,7,MALIGNANT NEOPLASM OF THYROID GLAND,UNSPECIFIED HYPOTHYROIDISM,Neoplasms,Endocrine_Disorders
285.21,585.4,2,ANEMIA IN CHRONIC KIDNEY DISEASE,"CHRONIC KIDNEY DISEASE, STAGE IV (SEVERE)",Hematologic_Disorders,Genitourinary_Disorders
424.1,790.5,2,AORTIC VALVE DISORDERS,OTHER NONSPECIFIC ABNORMAL SERUM ENZYME LEVELS,Cardiovascular_Disorders,Nonspecific_Abnormal_Findings
276.7,276.9,1,HYPERPOTASSEMIA,ELECTROLYTE AND FLUID DISORDERS NOT ELSEWHERE CLASSIFIED,Fluid_And_Electrolyte_Disorders,Fluid_And_Electrolyte_Disorders
153.9,276.9,1,"MALIGNANT NEOPLASM OF COLON, UNSPECIFIED SITE",ELECTROLYTE AND FLUID DISORDERS NOT ELSEWHERE CLASSIFIED,Neoplasms,Fluid_And_Electrolyte_Disorders
574.2,585.5,1,CALCULUS OF GALLBLADDER WITHOUT MENTION OF CHOLECYSTITIS OR OBSTRUCTION,"CHRONIC KIDNEY DISEASE, STAGE V",Digestive_System_Disorders,Genitourinary_Disorders
785.1,789.09,1,PALPITATIONS,"ABDOMINAL  PAIN, OTHER SPECIFIED SITE",Cardiovascular_Disorders,Other_Digestive_System_Disorders
173.3,462.0,2,UNSPECIFIED MALIGNANT NEOPLASM OF SKIN OF OTHER AND UNSPECIFIED PARTS OF FACE,ACUTE PHARYNGITIS,Neoplasms,Infectious_Disorders
427.31,719.45,2,ATRIAL FIBRILLATION,"PAIN IN JOINT, PELVIC REGION AND THIGH",Cardiovascular_Disorders,Musculoskeletal_and_Connective_Tissue_Disorders
242.0,242.9,2,TOXIC DIFFUSE GOITER WITHOUT MENTION OF THYROTOXIC CRISIS OR STORM,"THYROTOXICOSIS WITHOUT MENTION OF GOITER OR OTHER CAUSE, WITHOUT MENTION OF THYROTOXIC CRISIS OR STORM",Endocrine_Disorders,Endocrine_Disorders
585.3,585.9,2,"CHRONIC KIDNEY DISEASE, STAGE III (MODERATE)","CHRONIC KIDNEY DISEASE, UNSPECIFIED",Genitourinary_Disorders,Genitourinary_Disorders
